,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,kluster
1030,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",3,0,50,0
1031,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",5,0,50,0
1032,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",6,0,50,0
1033,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",7,0,50,0
1034,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",9,0,50,0
1035,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",10,0,50,0
1036,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",12,0,50,0
1037,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",13,0,50,0
1038,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",15,0,50,0
1039,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",16,0,50,0
1040,364,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar baru",1,0,60,0
1041,364,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar baru",2,0,60,0
1042,364,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar baru",3,0,60,0
1043,364,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar baru",4,0,60,0
1044,364,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar baru",5,0,60,0
1045,364,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar baru",6,0,60,0
1046,364,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar baru",10,0,60,0
1047,364,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar baru",12,0,60,0
1048,365,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar ",3,0,40,0
1049,365,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar ",4,0,40,0
1050,365,2019-03-05,jakarta barat,"jakarta barat, kel. jelambar ",7,0,40,0
1051,366,2019-03-05,jakarta barat,"jakarta barat, kel. tegal alur",1,0,80,0
1052,366,2019-03-05,jakarta barat,"jakarta barat, kel. tegal alur",3,0,80,0
1053,366,2019-03-05,jakarta barat,"jakarta barat, kel. tegal alur",4,0,80,0
1054,367,2019-03-05,jakarta barat,"jakarta barat, kel. joglo",6,0,15,0
1055,368,2019-03-05,jakarta barat,"jakarta barat, kel. kembangan utara",4,0,40,0
1056,368,2019-03-05,jakarta barat,"jakarta barat, kel. kembangan utara",10,0,40,0
1057,369,2019-03-05,jakarta barat,"jakarta barat, kel. kembangan selatan",8,0,20,0
1058,370,2019-03-05,jakarta barat,"jakarta barat, kel. jembatan lima",2,0,40,0
1059,371,2019-03-02,jakarta selatan,"jakarta selatan, kel. rawajati",7,0,30,0
1060,372,2019-03-31,jakarta selatan,"jakarta selatan, kel. cilandak timur",3,0,80,0
1061,373,2019-03-31,jakarta selatan,"jakarta selatan, kel. jati padang",8,0,60,0
1062,374,2019-03-31,jakarta selatan,"jakarta selatan, kel. petogogan",2,0,60,0
1063,375,2019-03-31,jakarta selatan,"jakarta selatan, kel. pondok labu",10,0,30,0
1064,376,2019-03-02,jakarta timur,"jakarta timur, kel. kampung melayu",4,925,100,0
1065,376,2019-03-02,jakarta timur,"jakarta timur, kel. kampung melayu",5,925,100,0
1066,376,2019-03-02,jakarta timur,"jakarta timur, kel. kampung melayu",7,925,100,0
1067,376,2019-03-02,jakarta timur,"jakarta timur, kel. kampung melayu",8,925,100,0
1068,377,2019-03-02,jakarta timur,"jakarta timur, kel.cawang",1,0,80,0
1069,377,2019-03-02,jakarta timur,"jakarta timur, kel.cawang",2,0,80,0
1070,377,2019-03-02,jakarta timur,"jakarta timur, kel.cawang",3,0,80,0
1071,377,2019-03-02,jakarta timur,"jakarta timur, kel.cawang",5,0,80,0
1072,377,2019-03-02,jakarta timur,"jakarta timur, kel.cawang",8,0,80,0
