,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,tahun
329,2018-02-26,jakarta timur,"jakarta timur, kampung melayu",2,3074,220,2018
330,2018-02-26,jakarta timur,"jakarta timur, kampung melayu",4,3074,220,2018
331,2018-02-26,jakarta timur,"jakarta timur, kampung melayu",5,3074,220,2018
332,2018-02-26,jakarta timur,"jakarta timur, kampung melayu",6,3074,220,2018
333,2018-02-26,jakarta timur,"jakarta timur, kampung melayu",7,3074,220,2018
334,2018-02-26,jakarta timur,"jakarta timur, kampung melayu",8,3074,220,2018
335,2018-02-05,jakarta timur,"jakarta timur, bidara cina",3,2642,250,2018
336,2018-02-05,jakarta timur,"jakarta timur, bidara cina",5,2642,250,2018
337,2018-02-05,jakarta timur,"jakarta timur, bidara cina",6,2642,250,2018
338,2018-02-05,jakarta timur,"jakarta timur, bidara cina",7,2642,250,2018
339,2018-02-05,jakarta timur,"jakarta timur, bidara cina",11,2642,250,2018
